w,y,square_meters,bathrooms_number,lift,rooms_number,other_features,total_floors_in_building,car_parking,availability,condominium_fees,year_of_construction,conditions,zone,floor,heating_centralized,energy_efficiency_class
1,238000,72,1,yes,2,balcony | full day concierge | single tv system | cellar | shared garden | window frames in double glass / pvc,6,no,NA,185,1960,to be refurbished,rovereto,6,NA,e
1,510000,60,1,yes,2,electric gate | optic fiber | security door | external exposure | full day concierge | centralized tv system | private and shared garden | window frames in double glass / pvc,2,2 in garage/box,available,200,1600,to be refurbished,missori,ground floor,independent,g
1,490000,140,2,yes,4,optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure,8,no,available,330,1970,to be refurbished,tripoli - soderini,mezzanine,central,g
1,269000,108,1,yes,3,security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal,8,1 in shared parking,available,233,1970,good condition / liveable,bisceglie,1,central,f
1,220000,90,1,yes,3,balcony | cellar | shared garden,6,1 in shared parking,NA,292,1965,good condition / liveable,quartiere olmi,3,central,g
1,247000,50,1,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure,5,no,available,120,1960,excellent / refurbished,quartiere adriano,5,central,NA
1,410000,45,1,yes,2,optic fiber | security door | external exposure | closet | balcony | half-day concierge | tv system with satellite dish | partially furnished | cellar | shared garden | window frames in double glass / wood,4,no,available,75,NA,excellent / refurbished,ticinese,2,central,e
1,1930000,262,3+,yes,5,optic fiber | video entryphone | alarm system | security door | terrace | centralized tv system | private garden | window frames in triple glass / pvc,2,no,available,100,2025,new / under construction,città studi,ground floor,central,a
1,220000,65,1,yes,2,electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / metal,7,no,available,150,1960,good condition / liveable,viale ungheria - mecenate,4,central,e
1,305000,52,1,no,2,electric gate | optic fiber | security door | internal exposure | closet | centralized tv system | furnished | window frames in double glass / wood,2,no,NA,100,2010,excellent / refurbished,piazzale siena,ground floor,independent,d
1,336000,67,1,yes,2,electric gate | optic fiber | security door | closet | centralized tv system | cellar | private garden | double exposure,5,no,available,50,1970,excellent / refurbished,san siro,mezzanine,independent,f
1,129000,33,1,yes,1,attic | optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | partially furnished | shared garden | window frames in glass / metal,7,no,available,100,1960,good condition / liveable,niguarda,mezzanine,central,NA
1,792000,130,1,yes,4,security door | balcony | cellar,4,no,available,No condominium fees,NA,new / under construction,centrale,3,central,g
1,550000,70,1,yes,2,terrace,5,no,available,300,2023,new / under construction,buenos aires,2,independent,a
1,1240000,115,2,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | terrace | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in triple glass / wood,8,1 in shared parking,available,459,2022,excellent / refurbished,zara,4,central,a
1,480000,84,1,yes,3,electric gate | video entryphone | security door | balcony | full day concierge | shared garden | double exposure,4,no,available,200,2025,new / under construction,quartiere forlanini,4,central,a
1,285000,55,1,yes,2,optic fiber | security door | internal exposure | centralized tv system | cellar | shared garden | window frames in double glass / pvc,4,no,available,80,1930,excellent / refurbished,città studi,ground floor,independent,f
1,259000,106,1,NA,3,electric gate | security door | internal exposure | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc,4,no,available,250,1960,good condition / liveable,corvetto,4,central,g
1,225000,57,1,yes,2,video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal,5,no,available,192,1960,good condition / liveable,prato centenaro,1,central,f
1,278000,55,1,yes,2,attic | optic fiber | security door | closet | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure,5,no,available,100,1900,good condition / liveable,argonne - corsica,5,independent,e
1,559000,95,1,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | single tv system | furnished | shared garden | window frames in glass / pvc,8,no,NA,375,1900,excellent / refurbished,pasteur,1,central,e
1,1275000,150,2,yes,4,electric gate | optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure,8,no,available,417,1958,to be refurbished,porta vittoria,8,central,g
1,264925,70,1,yes,2,electric gate | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure,6,no,available,No condominium fees,2025,new / under construction,certosa,1,independent,a
1,400000,95,1,yes,3,balcony | cellar | shared garden | double exposure,5,no,available,250,NA,good condition / liveable,cermenate - abbiategrasso,5,central,g
1,290000,102,1,no,4,security door | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure,4,no,available,340,1960,excellent / refurbished,certosa,4,central,f
1,335000,98,2,no,3,NA,1 floor,no,available,250,1950,new / under construction,bovisa,mezzanine,central,d
1,210000,60,1,no,2,security door | internal exposure | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc,5,no,available,200,1960,good condition / liveable,prato centenaro,2,central,f
1,225000,45,1,yes,1,electric gate | video entryphone | security door | external exposure | full day concierge | centralized tv system | furnished | window frames in double glass / pvc,7,no,NA,80,1970,excellent / refurbished,centrale,mezzanine,central,g
1,260000,80,1,yes,2,video entryphone | security door | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / pvcdouble exposure,4,no,NA,208,1970,excellent / refurbished,famagosta,mezzanine,central,g
1,320000,70,1,yes,2,electric gate | video entryphone | security door | external exposure | closet | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / pvc,8,no,available,208,1970,excellent / refurbished,villa san giovanni,8,central,f
1,269000,50,1,no,2,electric gate | security door | centralized tv system | furnished | window frames in double glass / pvcdouble exposure,4,no,available,50,1930,excellent / refurbished,parco trotter,2,independent,e
1,1780000,156,3,yes,4,optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in triple glass / wood | double exposure,7,1 in shared parking,available,300,2023,new / under construction,missori,2,central,a
1,149000,74,1,no,2,security door | balcony | furnished | shared garden | window frames in double glass / metal,3,no,NA,140,1960,good condition / liveable,baggio,1,central,c
1,430000,120,2,yes,4,alarm system | terrace | cellar,11,1 in garage/box,available,200,2010,new / under construction,quartiere adriano,1,central,b
1,880000,85,1,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | full day concierge | centralized tv system | furnished | shared garden | window frames in glass / wood,5,no,available,85,NA,good condition / liveable,pagano,mezzanine,central,g
1,195000,40,1,no,1,optic fiber | security door | internal exposure | closet | centralized tv system | furnished | window frames in double glass / pvc,4,no,available from 01/02/2027,190,1960,good condition / liveable,ghisolfa - mac mahon,ground floor,central,NA
1,850000,150,2,yes,4,attic | optic fiber | video entryphone | alarm system | security door | closet | half-day concierge | centralized tv system | shared garden | window frames in glass / wood,4,no,available,400,1910,good condition / liveable,centrale,4,central,f
1,165000,61,1,no,2,security door | centralized tv system | furnished | window frames in double glass / pvcdouble exposure,4,no,available,60,1950,excellent / refurbished,quarto oggiaro,3,independent,c
1,480000,55,1,yes,2,optic fiber | video entryphone | alarm system | security door | internal exposure | balcony | full day concierge | window frames in double glass / pvc,4,no,available,100,1920,excellent / refurbished,porta venezia,2,independent,f
1,675000,102,2,yes,4,electric gate | optic fiber | security door | internal exposure | half-day concierge | single tv system | furnished | shared garden | window frames in double glass / pvc,7,no,available,230,1955,excellent / refurbished,solari,mezzanine,central,f
1,233000,58,1,no,2,electric gate | video entryphone | security door | internal exposure | half-day concierge | centralized tv system | shared garden | window frames in double glass / pvc,7,no,available,50,1960,new / under construction,bologna - sulmona,mezzanine,central,e
1,233000,53,1,yes,2,electric gate | optic fiber | security door | full day concierge | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure,7,1 in garage/box,available,120,1963,excellent / refurbished,affori,mezzanine,independent,e
1,420000,100,2,yes,3,electric gate | video entryphone | security door | balcony | centralized tv system | furnished | cellar | shared garden | window frames in double glass / wood | double exposure,5,1 in garage/box,available,167,2010,good condition / liveable,bovisa,2,central,NA
1,360000,75,1,no,3,tennis court | electric gate | tavern | optic fiber | security door | closet | balcony | terrace | centralized tv system | furnished | cellar | shared garden | double exposure,2,1 in garage/box,available,120,1940,excellent / refurbished,affori,1,central,NA
1,1220000,160,2,yes,4,optic fiber | security door | balcony | full day concierge | tv system with satellite dish | shared garden | window frames in double glass / pvc,8,2 in garage/box,available,250,1970,to be refurbished,lodi - brenta,2,central,NA
1,390000,93,2,no,3,security door | external exposure | balcony | single tv system | window frames in double glass / wood,2,no,available,100,1970,good condition / liveable,zara,1,independent,e
1,540000,100,1,yes,3,optic fiber | external exposure | closet | half-day concierge | tv system with satellite dish | furnished | cellar | shared garden | window frames in glass / wood,5,no,available,1560,1920,good condition / liveable,montenero,mezzanine,independent,g
1,210000,45,1,no,1,NA,NA,no,available,42,1958,good condition / liveable,bovisa,ground floor,independent,g
1,1250000,122,1,NA,2,"reception | alarm system | kitchen | balcony | terrace | window frames in double glass / wood | exposure north, south, east, west",3,1 in shared parking,available,210,1930,good condition / liveable,garibaldi - corso como,3,central,f
1,1100000,132,3,yes,5,balcony | terrace | full day concierge | cellar | shared garden,5,"1 in garage/box, 1 in shared parking",available,No condominium fees,NA,to be refurbished,paolo sarpi,4,central,g
1,155000,22,1,no,1,full day concierge | furnished | cellar | window frames in double glass / metal,5,no,NA,50,NA,excellent / refurbished,parco trotter,1,independent,g
1,780000,125,1,yes,4,balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure,7,no,available from 01/07/2024,316,1950,to be refurbished,solari,3,central,g
1,240000,79,1,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | centralized tv system | partially furnished | shared garden | window frames in double glass / metal | double exposure,7,1 in garage/box,available,200,2005,good condition / liveable,baggio,7,independent,g
1,457000,53,1,yes,2,attic | optic fiber | video entryphone | security door | internal exposure | closet | full day concierge | single tv system | partially furnished | shared garden | window frames in glass / wood,6,no,available,200,1960,good condition / liveable,carrobbio,mezzanine,central,g
1,399000,85,2,no,3,optic fiber | alarm system | security door | balcony | centralized tv system | cellar | window frames in double glass / metal | double exposure,4,no,available,130,1970,excellent / refurbished,monte rosa - lotto,2,central,b
1,1840000,185,3,yes,5,electric gate | alarm system | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure,7,1 in garage/box,available,1000,1900,to be refurbished,vincenzo monti,2,central,NA
1,234000,65,1,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in triple glass / pvc,5,no,available,NA,2025,new / under construction,roserio,1,central,a
1,2480000,206,3,yes,4,electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in triple glass / metal | double exposure,7,2 in garage/box,available,No condominium fees,2023,new / under construction,corso genova,5,central,a
1,330000,80,1,yes,3,electric gate | optic fiber | video entryphone | security door | internal exposure | centralized tv system | window frames in double glass / pvc,3,no,available,NA,1970,new / under construction,ripamonti,mezzanine,central,NA
1,900000,80,2,yes,2,security door | internal exposure | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in glass / wood,5,no,available,2200,2000,excellent / refurbished,borgogna - largo augusto,2,independent,f
1,1382500,201,3,yes,5,electric gate | optic fiber | video entryphone | security door | external exposure | terrace | full day concierge | pool | centralized tv system | cellar | shared garden | window frames in double glass / metal,23,no,available,NA,2027,new / under construction,cascina merlata - musocco,2,central,NA
1,398000,88,2,yes,3,electric gate | optic fiber | video entryphone | security door | balcony | terrace | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,7,1 in garage/box,available,133,2000,good condition / liveable,santa giulia,2,independent,f
1,365000,81,1,yes,3,balcony | partially furnished | cellar | shared garden,14,1 in garage/box,NA,250,2013,excellent / refurbished,bignami - ponale,5,central,b
1,1740000,210,2,yes,5,video entryphone | alarm system | security door | balcony | full day concierge | centralized tv system | only kitchen furnished | cellar | shared garden | window frames in double glass / wood | double exposure,4,1 in garage/box,available,750,1920,good condition / liveable,casoretto,3,central,g
1,227000,61,1,no,2,optic fiber | security door | full day concierge | window frames in double glass / pvc,4,no,NA,116,1965,excellent / refurbished,affori,mezzanine,central,b
1,765000,115,1,yes,3,optic fiber | balcony | centralized tv system | window frames in glass / pvcdouble exposure,6,no,available,200,1914,to be refurbished,buenos aires,4,central,g
1,295000,85,1,yes,3,electric gate | optic fiber | security door | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / metal | double exposure,5,no,available,180,1959,good condition / liveable,prato centenaro,4,central,g
1,207000,55,1,yes,2,full day concierge | shared garden,3,no,available,150,1960,good condition / liveable,affori,1,independent,g
1,340000,60,1,no,2,optic fiber | security door | centralized tv system | window frames in double glass / pvcdouble exposure,3,no,available,100,NA,good condition / liveable,paolo sarpi,3,independent,f
1,549000,90,1,no,3,video entryphone | security door | window frames in double glass / pvcdouble exposure,4,no,NA,100,1930,good condition / liveable,isola,4,independent,g
1,310000,56,1,yes,2,electric gate | optic fiber | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal,6,no,available,150,1960,excellent / refurbished,cadore,1,central,d
1,209000,70,1,yes,2,electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | shared garden | window frames in glass / pvcdouble exposure,8,no,available,100,1980,to be refurbished,martini - insubria,ground floor,independent,g
1,460000,206,2,no,5,security door | closet | centralized tv system | private garden | window frames in double glass / pvcdouble exposure,3,2 in shared parking,available,290,1960,excellent / refurbished,cascina merlata - musocco,ground floor,central,f
1,325000,97,2,yes,3,electric gate | optic fiber | video entryphone | security door | external exposure | terrace | centralized tv system | cellar | shared garden | window frames in double glass / wood,16,1 in garage/box,NA,250,2005,excellent / refurbished,quarto oggiaro,2,independent,d
1,120000,43,1,yes,2,security door | internal exposure | centralized tv system | shared garden | window frames in glass / pvc,5,no,available,125,1978,good condition / liveable,ponte lambro,3,central,e
1,449000,111,2,yes,3,optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure,4,1 in garage/box,available,300,1970,good condition / liveable,monte stella,4,central,g
1,1078000,130,2,yes,3,security door | balcony | cellar,5,no,available,No condominium fees,NA,new / under construction,amendola - buonarroti,4,central,g
1,245000,64,1,NA,2,optic fiber | alarm system | security door | shared garden | double exposure,3,no,available,42,1920,excellent / refurbished,pezzotti - meda,ground floor,independent,d
1,639000,104,1,yes,3,optic fiber | video entryphone | security door | closet | balcony | cellar | shared garden,NA,no,available,250,1960,excellent / refurbished,washington,1,central,e
1,1540000,130,2,yes,3,external exposure | window frames in double glass / wood,3,no,available,417,2011,excellent / refurbished,ticinese,3,central,NA
1,836000,109,1,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | closet | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure,4,no,available,200,1960,excellent / refurbished,corso genova,3,central,g
1,495000,130,2,yes,4,electric gate | optic fiber | security door | balcony | centralized tv system | window frames in double glass / wood | double exposure,5,1 in garage/box,available,380,NA,good condition / liveable,cermenate - abbiategrasso,3,central,NA
1,890000,250,2,no,4,attic | tavern | optic fiber | video entryphone | alarm system | security door | internal exposure | balcony | terrace | single tv system | private garden | window frames in triple glass / pvc,2,2 in garage/box,available,40,2022,new / under construction,quartiere adriano,ground floor,independent,b
1,235000,75,1,no,3,electric gate | optic fiber | video entryphone | security door | centralized tv system | private garden | window frames in triple glass / metal | double exposure,1 floor,no,available,100,2023,new / under construction,baggio,ground floor,central,NA
1,740000,148,2,yes,4,electric gate | optic fiber | video entryphone | alarm system | security door | terrace | full day concierge | centralized tv system | shared garden | window frames in triple glass / metal | double exposure,6,no,available,NA,2024,new / under construction,lambrate,5,central,NA
1,1260000,375,3,yes,5+,fireplace | security door | balcony | terrace | full day concierge | cellar | shared garden | double exposure,7,1 in garage/box,NA,1000,1970,excellent / refurbished,vigentino - fatima,7,central,e
1,850000,172,3,yes,4,optic fiber | security door | closet | balcony | terrace | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure,8,no,available,400,1960,excellent / refurbished,ghisolfa - mac mahon,7,central,g
1,370000,98,2,yes,3,electric gate | optic fiber | video entryphone | security door | external exposure | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in triple glass / pvc,5,no,available,NA,2026,new / under construction,roserio,4,central,a
1,500000,155,3,yes,5+,electric gate | optic fiber | video entryphone | alarm system | security door | centralized tv system | furnished | shared garden | window frames in double glass / pvcdouble exposure,5,no,available,NA,NA,excellent / refurbished,gorla,semi-basement,central,d
1,500000,130,2,yes,4,tavern | optic fiber | video entryphone | alarm system | security door | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure,3,1 in shared parking,available,150,1960,excellent / refurbished,maggiolina,1,independent,g
1,310000,55,1,yes,2,hydromassage | optic fiber | video entryphone | security door | full day concierge | centralized tv system | cellar | window frames in glass / pvc,6,no,available,50,1960,new / under construction,pezzotti - meda,6,independent,d
1,945000,170,2,yes,4,alarm system | terrace | full day concierge | furnished | cellar | window frames in double glass / wood,8,1 in garage/box,available,333,1958,good condition / liveable,san siro,8,central,f
1,215000,41,1,yes,1,balcony | furnished | shared garden | window frames in double glass / pvc,4,no,available,80,2016,new / under construction,cimiano,2,independent,a
1,365000,70,1,no,2,electric gate | optic fiber | video entryphone | security door | internal exposure | centralized tv system | private garden | window frames in double glass / pvc,1 floor,no,available,10,2024,excellent / refurbished,cascina dei pomi,ground floor,independent,a
1,350000,39,1,yes,2,electric gate | optic fiber | video entryphone | security door | internal exposure | centralized tv system | shared garden | window frames in double glass / pvc,4,no,available,100,1920,excellent / refurbished,buenos aires,ground floor,independent,g
1,249000,90,1,yes,3,balcony | furnished,7,no,available,No condominium fees,1960,excellent / refurbished,cantalupa - san paolo,6,central,f
1,359000,67,1,NA,3,"reception | alarm system | balcony | cellar | shared garden | window frames in triple glass / wood | exposure north, east",6,1 in garage/box,available,200,2002,excellent / refurbished,dergano,3,central,b
1,219000,50,1,yes,2,attic | optic fiber | alarm system | security door | balcony | centralized tv system | partially furnished | window frames in glass / wood | double exposure,5,no,available from 30/04/2024,133,1958,good condition / liveable,cimiano,4,central,d
1,560000,62,1,yes,2,security door | external exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc,4,no,available,NA,1960,excellent / refurbished,piave - tricolore,2,central,NA
1,205000,50,1,no,1,optic fiber | video entryphone | security door | closet | centralized tv system | furnished | window frames in double glass / pvcdouble exposure,2,no,available,70,1930,good condition / liveable,dergano,mezzanine,independent,NA
1,180000,72,1,yes,3,electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | furnished | cellar | shared garden | window frames in double glass / wood,6,no,available,250,1960,good condition / liveable,vialba,1,central,g
1,930000,132,3,yes,5,balcony | terrace | full day concierge | cellar | shared garden,5,"1 in garage/box, 1 in shared parking",available,No condominium fees,NA,to be refurbished,paolo sarpi,4,central,g
1,825000,123,2,NA,5,"alarm system | kitchen | terrace | private and shared garden | window frames in triple glass / metal | exposure north, south, east",3,1 in shared parking,available,20,2023,excellent / refurbished,maggiolina,ground floor,independent,a
1,419000,73,1,yes,3,security door | balcony | centralized tv system | cellar | double exposure,8,no,available,185,1960,excellent / refurbished,città studi,2,central,f
1,1190000,130,2,yes,4,electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | centralized tv system | partially furnished | window frames in double glass / pvcdouble exposure,4,2 in garage/box,available,333,1960,excellent / refurbished,guastalla,4,independent,e
1,338000,75,1,yes,2,security door | balcony | terrace | centralized tv system | window frames in double glass / metal | double exposure,6,no,available,240,1960,good condition / liveable,tripoli - soderini,2,central,d
1,249000,55,1,yes,2,optic fiber | closet | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,7,no,available,150,1960,excellent / refurbished,lodi - brenta,ground floor,central,f
1,485000,95,1,no,3,electric gate | optic fiber | video entryphone | security door | tv system with satellite dish | furnished | cellar | shared garden | window frames in double glass / metal | double exposure,1 floor,no,available,70,1950,excellent / refurbished,monte rosa - lotto,1,independent,NA
1,485000,100,1,yes,3,optic fiber | security door | full day concierge | centralized tv system | window frames in double glass / metal | double exposure,6,no,available,250000,1950,to be refurbished,centrale,2,central,f
1,295000,58,1,no,2,electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | centralized tv system | window frames in triple glass / pvc,4,no,available,50,2023,new / under construction,turro,3,independent,a
1,683000,115,2,yes,4,electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | terrace | half-day concierge | tv system with satellite dish | private garden | window frames in triple glass / wood,5,no,available,NA,2024,new / under construction,corso san gottardo,mezzanine,independent,a
1,298000,84,1,yes,3,optic fiber | security door | external exposure | balcony | centralized tv system | cellar | window frames in double glass / pvc,4,no,NA,NA,1960,excellent / refurbished,san siro,4,central,g
1,1400000,344,2,yes,5+,balcony | terrace | full day concierge | centralized tv system | window frames in double glass / pvcdouble exposure,7,no,available,No condominium fees,1960,to be refurbished,ticinese,1,central,e
1,569000,132,2,yes,4,electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | centralized tv system | furnished | cellar | shared garden | window frames in glass / wood | double exposure,8,no,available,500,1973,good condition / liveable,bande nere,7,central,g
1,333000,106,2,yes,3,electric gate | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure,4,1 in shared parking,available,165,1965,to be refurbished,cimiano,4,independent,e
1,85000,32,1,no,1,optic fiber | internal exposure | half-day concierge | partially furnished | cellar,4,no,NA,50,1930,excellent / refurbished,parco trotter,2,independent,f
1,160000,54,1,yes,2,electric gate | optic fiber | video entryphone | security door | internal exposure | centralized tv system | window frames in double glass / pvc,6,no,available,100,1990,new / under construction,vialba,ground floor,independent,f
1,679000,122,2,yes,4,electric gate | video entryphone | security door | terrace | centralized tv system | window frames in glass / pvc,6,no,NA,NA,2024,new / under construction,bisceglie,1,central,a
1,635000,95,2,yes,3,optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,6,1 in garage/box,available,250,1960,good condition / liveable,san siro,5,central,f
1,223000,50,1,yes,2,electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | half-day concierge | centralized tv system | partially furnished | window frames in double glass / metal,7,no,available,150,1960,good condition / liveable,giambellino,7,central,e
1,180000,25,1,no,1,optic fiber | security door | partially furnished | window frames in double glass / pvc,6,no,available,83,1950,excellent / refurbished,argonne - corsica,ground floor,NA,a
1,990000,198,2,yes,5,optic fiber | video entryphone | alarm system | security door | balcony | terrace | full day concierge | window frames in double glass / wood,7,1 in garage/box,available,458,1970,excellent / refurbished,maggiolina,6,central,e
1,763000,109,2,yes,3,security door | balcony | centralized tv system | window frames in double glass / metal | double exposure,7,no,available,NA,1965,new / under construction,città studi,4,central,NA
1,260000,65,2,no,3,optic fiber | security door | internal exposure | balcony | centralized tv system | furnished | window frames in double glass / pvc,2,no,available,NA,1950,excellent / refurbished,corvetto,1,independent,g
1,365000,85,2,yes,3,optic fiber | security door | internal exposure | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvc,4,no,available,240,1960,excellent / refurbished,ca' granda,1,central,f
1,165000,40,1,no,2,optic fiber | security door | centralized tv system | furnished | window frames in double glass / pvcdouble exposure,2,no,NA,60,1930,good condition / liveable,ortica,2,central,f
1,370000,110,2,yes,3,security door | external exposure | balcony | terrace | full day concierge | furnished | cellar | shared garden,18,1 in garage/box,available,183,1960,good condition / liveable,bicocca,ground floor,central,f
1,595000,110,2,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | closet | terrace | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,8,1 in garage/box,available,300,2013,excellent / refurbished,affori,4,central,a
1,1050000,298,3+,no,5+,tavern | optic fiber | alarm system | security door | balcony | centralized tv system | furnished | cellar | private garden | window frames in double glass / pvcdouble exposure,3,no,available,No condominium fees,1930,excellent / refurbished,san siro,1,independent,f
1,595000,70,1,no,2,fireplace | optic fiber | internal exposure | balcony | shared garden | window frames in triple glass / pvc,3,no,NA,150,1890,excellent / refurbished,carrobbio,2,independent,f
1,570000,170,3,yes,4,optic fiber | video entryphone | security door | full day concierge | centralized tv system | shared garden | window frames in double glass / wood | double exposure,9,no,available,NA,1970,excellent / refurbished,de angeli,1,central,f
1,253000,40,1,yes,1,electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal,2,no,available,100,2026,new / under construction,gambara,mezzanine,central,a
1,535000,71,1,yes,3,optic fiber | video entryphone | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | window frames in double glass / pvc,6,no,available,220,NA,excellent / refurbished,sempione,1,NA,e
1,350000,87,1,yes,3,external exposure,7,no,available,320,1960,good condition / liveable,città studi,semi-basement,central,f
1,220000,90,1,yes,3,electric gate | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure,8,no,available,210,1960,good condition / liveable,giambellino,3,central,d
1,420000,50,1,yes,2,optic fiber | half-day concierge | single tv system | furnished | shared garden | window frames in double glass / pvcdouble exposure,6,no,available,60,1920,excellent / refurbished,paolo sarpi,ground floor,independent,b
1,420000,75,1,yes,2,electric gate | optic fiber | security door | external exposure | closet | full day concierge | centralized tv system | window frames in double glass / pvc,6,no,available,220,1950,good condition / liveable,plebisciti - susa,2,central,e
1,469000,95,2,yes,3,electric gate | attic | optic fiber | video entryphone | alarm system | security door | closet | full day concierge | furnished | double exposure,6,no,NA,292,1950,excellent / refurbished,pasteur,ground floor,central,f
1,350000,70,1,no,3,electric gate | optic fiber | video entryphone | security door | closet | balcony | single tv system | furnished | shared garden | window frames in double glass / pvcdouble exposure,5,no,available,100,1960,excellent / refurbished,pezzotti - meda,5,independent,f
1,750000,175,2,yes,5+,security door | closet | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure,5,no,available,375,1960,NA,portello - parco vittoria,1,central,NA
1,1045000,120,2,yes,3,optic fiber | security door | terrace | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure,7,no,available,450,1970,to be refurbished,quadronno - crocetta,3,central,f
1,540000,115,1,yes,4,electric gate | optic fiber | video entryphone | security door | terrace | full day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure,6,no,available,400,1960,good condition / liveable,giambellino,6,central,f
1,450000,85,1,yes,3,security door | internal exposure | balcony | half-day concierge | centralized tv system | shared garden | window frames in double glass / pvc,9,no,available,NA,1960,to be refurbished,sempione,3,central,g
1,199000,65,1,no,3,optic fiber | security door | internal exposure | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc,2,no,available,166,1960,good condition / liveable,cascina merlata - musocco,2,central,g
1,780000,110,1,yes,3,electric gate | optic fiber | closet | balcony | terrace | full day concierge | centralized tv system | shared garden | window frames in double glass / pvc,4,no,available,NA,NA,good condition / liveable,corso san gottardo,4,central,f
1,215000,45,1,no,2,optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | furnished | shared garden | window frames in double glass / pvc,5,no,available from 01/11/2024,100,1900,excellent / refurbished,certosa,4,independent,f
1,287000,65,1,yes,2,optic fiber | video entryphone | security door | balcony | terrace | partially furnished | cellar | shared garden | window frames in double glass / metal | double exposure,7,no,available,150,1960,good condition / liveable,quartiere feltre,3,central,d
